rank,run,architecture,loss,optimizer,epochs_trained,best_val_acc,best_val_acc_epoch,final_val_acc,best_val_loss,final_val_loss,final_train_acc,final_train_loss,accuracy,f1_macro,f1_weighted
1,alexnet_pre_cel_adam,alexnet_pre,CEL,Adam,30,0.9048,24,0.9038,1.198,1.198,0.963,1.0403,0.9048,0.9037,0.9044
2,vgg16_pre_cel_adam,vgg16_pre,CEL,Adam,30,0.8981,30,0.8981,1.2318,1.2333,0.9683,1.0622,0.8981,0.8972,0.8972
3,vgg16_pre_mml_rmsprop,vgg16_pre,MML,Rmsprop,30,0.8952,30,0.8952,0.0156,0.0156,0.9529,0.0034,0.8952,0.894,0.8944
4,vgg16_pre_cel_rmsprop,vgg16_pre,CEL,Rmsprop,30,0.8942,29,0.8913,1.24,1.2407,0.9728,1.0108,0.8942,0.8929,0.8933
5,vgg16_pre_mml_adam,vgg16_pre,MML,Adam,30,0.8846,25,0.8817,0.0165,0.0166,0.9512,0.0056,0.8846,0.8835,0.8838
6,alexnet_pre_cel_rmsprop,alexnet_pre,CEL,Rmsprop,30,0.8837,29,0.8837,1.2661,1.2661,0.957,1.0651,0.8837,0.8823,0.8824
7,alexnet_pre_mml_adam,alexnet_pre,MML,Adam,30,0.874,23,0.8721,0.0118,0.0118,0.9139,0.0056,0.874,0.872,0.8727
8,alexnet_opt_cel_adam,alexnet_opt,CEL,Adam,50,0.8635,42,0.8596,1.2535,1.2535,0.9654,1.0074,0.8635,0.8629,0.8636
9,alexnet_pre_mml_rmsprop,alexnet_pre,MML,Rmsprop,30,0.8635,25,0.8606,0.0206,0.0207,0.9298,0.0042,0.8635,0.8624,0.862
10,alexnet_opt_cel_rmsprop,alexnet_opt,CEL,Rmsprop,50,0.8385,46,0.8365,1.3192,1.3224,0.9404,1.0855,0.8385,0.835,0.836
11,alexnet_opt_mml_adam,alexnet_opt,MML,Adam,50,0.8048,48,0.8048,0.0231,0.0231,0.8815,0.0066,0.8048,0.8014,0.803
12,alexnet_opt_mml_rmsprop,alexnet_opt,MML,Rmsprop,50,0.7971,50,0.7971,0.0309,0.0309,0.8495,0.0092,0.7971,0.7942,0.7958
13,alexnet_cel_adam,alexnet,CEL,Adam,30,0.7317,26,0.7288,1.6455,1.648,0.8016,1.45,0.7317,0.7271,0.7275
14,alexnet_cel_rmsprop,alexnet,CEL,Rmsprop,30,0.7212,30,0.7212,1.6654,1.6654,0.7475,1.5709,0.7212,0.716,0.718
15,vgg16_mml_adam,vgg16,MML,Adam,30,0.6865,30,0.6865,0.0485,0.0489,0.4855,0.0728,0.6865,0.677,0.6794
16,alexnet_mml_rmsprop,alexnet,MML,Rmsprop,30,0.6529,29,0.651,0.0571,0.0571,0.6509,0.0309,0.6529,0.6434,0.6456
17,alexnet_mml_adam,alexnet,MML,Adam,30,0.65,27,0.6481,0.0588,0.059,0.667,0.0282,0.65,0.6412,0.6417
18,vgg16_cel_adam,vgg16,CEL,Adam,30,0.6163,30,0.6163,2.2167,2.2167,0.3359,2.7763,0.6163,0.5777,0.5817
19,vgg16_cel_rmsprop,vgg16,CEL,Rmsprop,30,0.5577,30,0.5577,2.2786,2.2786,0.4304,2.5906,0.5577,0.5383,0.5409
20,vgg16_mml_rmsprop,vgg16,MML,Rmsprop,30,0.4894,30,0.4894,0.1039,0.1039,0.3686,0.1357,0.4894,0.4738,0.479
21,modernlenet_cel_rmsprop,modernlenet,CEL,Rmsprop,30,0.3154,30,0.3154,3.1046,3.1046,0.2186,3.3622,0.3154,0.2763,0.278
22,modernlenet_mml_rmsprop,modernlenet,MML,Rmsprop,30,0.2106,30,0.2106,0.3275,0.3308,0.1488,0.3684,0.2106,0.1936,0.1923
23,modernlenet_mml_adam,modernlenet,MML,Adam,30,0.0894,28,0.0817,0.5911,0.5911,0.0515,0.7241,0.0894,0.0529,0.0539
24,modernlenet_cel_adam,modernlenet,CEL,Adam,8,0.0221,1,0.0202,4.3017,4.3143,0.0207,4.3178,0.0221,0.0033,0.0035
